route,source_seed,family,high_method,low_method,allocation,ratio,metric,baseline,high_value,low_value,high_effect,low_effect,gap,direction
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.0,accuracy,0.819954128440367,0.819954128440367,0.819954128440367,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.0,nll,0.5458835959434509,0.5458835959434509,0.5458835959434509,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.0,ece,0.11188451638995184,0.11188451638995184,0.11188451638995184,0.0,0.0,0.0,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.001,accuracy,0.819954128440367,0.4908256880733945,0.819954128440367,0.3291284403669725,0.0,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.001,nll,0.5458835959434509,0.6931471824645996,0.5458835959434509,0.14726358652114868,0.0,0.14726358652114868,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.001,ece,0.11188451638995184,0.009174317121505737,0.11188451638995184,-0.1027101992684461,0.0,-0.1027101992684461,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.005,accuracy,0.819954128440367,0.4908256880733945,0.819954128440367,0.3291284403669725,0.0,0.3291284403669725,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.005,nll,0.5458835959434509,0.6931471824645996,0.5458835959434509,0.14726358652114868,0.0,0.14726358652114868,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.005,ece,0.11188451638995184,0.009174317121505737,0.11188451638995184,-0.1027101992684461,0.0,-0.1027101992684461,positive_means_high_pruning_is_more_harmful
direct,1234,u_positive,u_positive_high,u_positive_low,global,0.01,accuracy,0.819954128440367,0.4908256880733945,0.819954128440367,0.3291284403669725,0.0,0.3291284403669725,positive_means_high_pruning_is_more_harmful
