method,score_source,direction,allocation,ratio,mask_index,seed,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,accuracy_change,nll_change,ece_change,base_restored,evaluation_reused,provenance_id
u_positive_high,u_positive,high,global,0.0,0,1234,123568128,49,0,0.0,0.819954128440367,0.5458835959434509,0.11188451638995184,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0,0.0,True,True,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.001,0,1234,123568128,49,123568,0.000999998964134182,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.005,0,1234,123568128,49,617840,0.0049999948206709095,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.01,0,1234,123568128,49,1235681,0.009999997734043522,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.02,0,1234,123568128,49,2471362,0.019999995468087044,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.05,0,1234,123568128,49,6178406,0.049999996762919316,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.1,0,1234,123568128,49,12356812,0.09999999352583863,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.2,0,1234,123568128,49,24713625,0.19999999514437897,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,global,0.3,0,1234,123568128,49,37070438,0.29999999676291933,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.3291284403669725,-0.3291284403669725,0.14726358652114868,-0.1027101992684461,True,False,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
u_positive_high,u_positive,high,layer_balanced,0.0,0,1234,123568128,49,0,0.0,0.819954128440367,0.5458835959434509,0.11188451638995184,872.0,0.819954128440367,0.5458835959434509,0.11188451638995184,0.0,0.0,0.0,0.0,True,True,6319b9372640ef20a7f13ef079a7d08a3da4f87669aa8d874643b7e35c072cf6
